strategy,engine,version_slug,bump_distance,schema_recall,schema_precision,invariant_recall,invariant_precision,invariant_severity_accuracy,wall_clock_sec,energy_wh,invariant_reference_count,invariant_cell_count,invariant_intersection_count,schema_reference_count,schema_cell_count,schema_intersection_count,failure_modes
a,tensorrt,v0_19_0,v-2,1.0,1.0,1.0,0.3548387096774194,1.0,0.15539270266890526,0.0,11,31,11,107,107,107,none
a,tensorrt,v0_20_0,v-1,1.0,1.0,1.0,0.3548387096774194,1.0,0.14616155624389648,0.0012103202600590884,11,31,11,107,107,107,none
a,tensorrt,v0_21_0,active,1.0,1.0,1.0,0.3548387096774194,1.0,0.00013522058725357056,0.0,11,31,11,107,107,107,none
a,tensorrt,v1_0_0,v+1,1.0,1.0,1.0,0.3548387096774194,1.0,0.14499503374099731,0.0,11,31,11,107,107,107,none
a,tensorrt,v1_2_1,v+major,1.0,1.0,1.0,0.3548387096774194,1.0,0.1441896203905344,0.0,11,31,11,107,107,107,none
a,transformers,v4_55_4,v-2,0.0,0.0,0.0,0.0,0.0,6.667551858350635,0.08024096357513505,56,0,0,112,0,0,detectable
a,transformers,v4_56_2,v-1,1.0,1.0,0.3392857142857143,0.5428571428571428,1.0,7.0071837194263935,0.08469014531241027,56,35,19,112,112,112,none
a,transformers,v4_57_3,active,1.0,1.0,0.6607142857142857,0.9487179487179487,1.0,0.0001356024295091629,0.0,56,39,37,112,112,112,none
a,transformers,v4_57_6,v+1,1.0,1.0,0.32142857142857145,0.6428571428571429,1.0,2.922121664509177,0.03432787101997916,56,28,18,112,112,112,none
a,transformers,v5_9_0,v+major,0.0,0.0,0.0,0.0,0.0,0.8121925517916679,0.009104824541713007,56,0,0,112,0,0,detectable
a,vllm,v0_19_1,v+major,0.0,0.0,0.0,0.0,0.0,2.654681881889701,0.0313471466230107,39,0,0,135,0,0,detectable
a,vllm,v0_6_0,v-2,0.0,0.0,0.0,0.0,0.0,2.6812389213591814,0.03132664344080878,39,0,0,135,0,0,detectable
a,vllm,v0_6_6_post1,v-1,0.0,0.0,0.0,0.0,0.0,2.854148870334029,0.0328552092387949,39,0,0,135,0,0,detectable
a,vllm,v0_7_3,active,1.0,1.0,0.6666666666666666,1.0,1.0,0.00015578977763652802,0.0,39,26,26,135,135,135,none
a,vllm,v0_9_2,v+1,0.0,0.0,0.0,0.0,0.0,2.9460806362330914,0.034337333436707126,39,0,0,135,0,0,detectable
b,tensorrt,v0_19_0,v-2,0.04672897196261682,0.06944444444444445,0.36363636363636365,0.10810810810810811,1.0,1666.6041099000722,77.85844391419018,11,37,4,107,72,5,silent;none
b,tensorrt,v0_20_0,v-1,0.04672897196261682,0.0641025641025641,0.36363636363636365,0.12121212121212122,1.0,1678.0340658519417,78.54943460277273,11,33,4,107,78,5,silent;none
b,tensorrt,v0_21_0,active,0.5607476635514018,0.46511627906976744,0.45454545454545453,0.1282051282051282,0.8,1372.1819725558162,66.43797653241148,11,39,5,107,129,60,none
b,tensorrt,v1_0_0,v+1,0.5233644859813084,0.43410852713178294,0.36363636363636365,0.10526315789473684,1.0,2247.9951490201056,101.84590833916273,11,38,4,107,129,56,none
b,tensorrt,v1_2_1,v+major,0.5046728971962616,0.3673469387755102,0.36363636363636365,0.1,1.0,2260.2153642624617,102.64705664766561,11,40,4,107,147,54,none;silent
b,transformers,v4_55_4,v-2,0.8839285714285714,0.9339622641509434,0.5535714285714286,0.4189189189189189,0.8387096774193549,6526.63681582734,361.0942049243669,56,74,31,112,106,99,none
b,transformers,v4_56_2,v-1,0.8660714285714286,0.9326923076923077,0.5357142857142857,0.410958904109589,0.8333333333333334,6515.966663544998,360.70517380591576,56,73,30,112,104,97,none
b,transformers,v4_57_3,active,0.8303571428571429,0.9393939393939394,0.625,0.6862745098039216,0.8571428571428571,1649.152866128832,81.31380030649377,56,51,35,112,99,93,none
